yorum,konu,sentiment,sentiment_score,duygu
android telefonuma indirdiğim uygulamaya üyeliğimin daha ikinci gününde erişemiyorum. uygulamayı silip tekrar yuklememe ve hesap şifresini girmeme rağmen tekrar başa yönlendiriyor.Android kullanıcıları uzak dursun derim.Tek yıldızı da ses kalitesi hatırına verdim 😤,performans/arayüz,negatif,20,öfke
tv de çalışmıyor,performans,negatif,20,hayal kirikligi
bet,performans,nötr,50,nötr
Apple kalitesi anlatmaya gerek yok.,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,güven
auto crossfade is really good bring şt to ios too,performans,pozitif,80,mutluluk
İyidi güzeldi очень очень хорошо,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
güzel,genel,pozitif,80,mutluluk
Samsung Galaxy S4 mi bir türlü ikna edemedim,ürün,negatif,20,hayal kırıklığı
iyi iyi,performans,pozitif,80,mutluluk
güzel iyi ama sonraki çalan şarkı algoritması çok kötü. ama fiyati Türkiye'ye göre çok iyi Amerika da 10 dolar falan bizde 40tl olması baya iyi hem iPhone da hem burada kullanıyorum güzel,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,70,mutluluk
Söylenecek söz yok. iPhone versiyonundan bile daha iyi.,performans,pozitif,90,mutluluk
Macbookum ile iTunes Store'dan bir çok şarkı aldım fakat şarkılar telefonumda görünmüyor bilgisayarımda var ama telefona gelmiyor lütfen sorunu düzeltin.,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,60,hayal kırıklığı
sometimes app can be very buggy,performans,negatif,20,hayal kirikligi
Siz adam mı soyuyorsunuz!? ne cürretle benden birkaç saat içinde 3 defa para çekiyorsunuz!? Para iadesi istiyorum,müşteri hizmetleri,negatif,80,"öfke, hayal kırıklığı"
"Spotify saçmalığından sonra gerçek müziğe kavuştum. 24 bit 96 khz kalitesinde , yüksek çözünürlüklü , kayıpsız , sanki stüdyoda dinliyormuş gibi müzik keyfi sunuyor. Spotify kullandigim zamanlarıma üzülüyorum, ben müzik dinlememişim spotify'da hiç. zararın neresinden dönersen kârdır. Apple müzikten şaşmam artık. hem daha kaliteli ses hem de spotify'dan daha ucuz. Harikasın Apple music. 😊😊🙏",performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
Apple hesabı oluşturamadığım için uygulamayı kullanamıyorum. inanmayacaksınız ama 120 farklı kullanıcı adı denedim ve hiçbirine onay vermedi. pes ediyorum.,arayüz,negatif,20,hayal kırıklığı
Lütfen uygulamayı düzeltin,performans,negatif,20,hayal kırıklığı
Android cihazlarda kullanırken problemlere sahip örnegin internetten girerken Apple hesabınız girince 13 ve daha fazla ios sürümü uyarısı veriyor saçma. onun dışında kullanımı çok güzel,performans/arayüz,negatif,20,hayal kırıklığı
son derece berbat.,performans,negatif,10,hayal kırıklığı
"Ulo, ""Şarkı Söyle: Türkçe Hit'ler"" diye playlist getirmişsiniz ama playlistteki şarkıların yarısında sing (kelime kelime giden şarkı sözleri) özelliği yok. Siz taşak mı geçiyonuz adamla?",içerik,negatif,70,öfke
Hesaba giriş yapılamıyor,arayüz,negatif,20,hayal kırıklığı
güzel,genel,pozitif,80,mutluluk
ses kalitesi çok başarılı ama uygulama pc ve mobilde oldukça fazla kasma ve donma sorunu yaşıyor,performans/arayüz,negatif,20,hayal kırıklığı
xiaomi 13 T pro telefonumda şarkı değiştirirken Bluetooth kesilmesi sorunu yaşıyorum onun haricinde arayüzü ve ses kalitesini beğeniyorum. Not: Ses seviyesi diğer müzik dinleme uygulamalarına göre biraz düşük kalıyor yani temiz kaliteli ses ama Spotify veya deezer'dan daha düşük ses seviyesi. Uzamsal ses özelliğini seviyorum bide.,performans/arayüz/fiyat/içerik,pozitif,80,memnuniyet
güzel uygulama,arayüz,pozitif,90,mutluluk
Bluetooth kulaklığımla şarkı geçişi yaptığımda Bluetooth kendi kendine kapanıyor tekrar bağlanıyor ve bunu sürekli olarak yapıyor. Şimdi diyeceksiniz ki telefonla alakalı ama öyle değil. Çünkü bu sorun Spotify ve diğer müzik uygulamalarında olmuyor. Sadece bu uygulamada karşıma çıkıyor.,performans,negatif,30,hayal kırıklığı
Lütfen tasarımı sadeleştirin ve akıcı hale getirin.,arayüz,pozitif,70,memnuniyet
"Premium özelliğini dün açtım ve spotify yerine apple music kullanmaya karar verdim, çünkü herkes ses kalktesinin daha iyi olduğunu söylüyordu. Evet ses kalitesini gerçekten harika ama bazı sorunlar var. Arama kısmından bir şarkı açinca 4-5 saniye sonra açılıyor, crossfade geçişlerinde biraz duraklama oluyor, bir şarkıyı favorilerine ekleyince üstündeki yıldız geç çıkıyor, bir şarkı aratınca hemen çıkmıyor 5-10 saniye beklemek zorunda kalıyorum. Bunlar düzeltilirse uygulama daha iyi olabilir.",performans/arayüz,negatif,30,hayal kırıklığı
Harika bir uygulama,performans,pozitif,90,mutluluk
"Harika 👍 uygulama! Kullanıcı dostu, aradığım şarkıları bulabiliyorum.",performans/arayüz,pozitif,90,mutluluk
Ücretsiz kullanım bile olmayan bir uygulama. En azından reklamlı versiyonu olabilirdi. YT Music daha iyi bir seçenek,fiyat/reklam,negatif,20,hayal kırıklığı
İÇERİK ÜCRETLİ OLDUĞU İÇİN 1 YILDIZ BİLE FAZLA,fiyat,negatif,90,öfke
"Ses kalitesi açısında Spotify'dan çok daha iyi evet, ancak liste anlamında çok zayıf. Ek olarak masaüstü sürümü rezalet derecede kötü çalışıyor, bu iki husus sizin için önemliyse tercih edilmemesi gerek.",performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,30,hayal kırıklığı
"kayıpsız ses çözünürlüğü,dolby atmos ve uzamsal ses tercih sebebim olacak gibi 🤟",performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,80,mutluluk
Mükemmel ötesi. Teşekkürler.,performans,pozitif,90,mutluluk
ses kalitesi der susarım hiçbir uygulama geçemez apple music'i,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,85,"güven, beklenti"
Ses kalitesi spotify dan iyi ve daha yüksek ama onun dışında kullanış olarak spotify daha iyi. Mesela sıradaki şarkı için şarkıyı parmağımla sonuna kadar kaydırmam gerekiyor. Spotify da az bi hareketle oluyor bu. Programı açtığınızda kütüphaneye girmek için ayrıyetten listelere basmamız lazım. Spotify da kütüphaneye bastığımız gibi bütün listeler geliyor. Bunun gibi daha bir kaç şey daha var. Bunlar düzelirse tamamen geçebilirim,performans/arayüz,negatif,30,hayal kırıklığı
Ses kalitesine göre parasını en çok hak eden tek uygulama ama sorunu var benim telefonumdamı sadece bilmiyorum Bluetooth kulaklığımı bağlayıp müzik açınca kendi kendine Bluetoothu kapatıp açıyor bunuda her seferde yapıyor,performans,negatif,30,hayal kırıklığı
müzik çalmak paralı şakamıdır bu? müzik dinlemekte paralı olmuş tasak geçiyolar bizle müziği çalmayıda paralı yapmazsın neyi paralı yapacaklarını şaşırmışlar,fiyat,negatif,20,"şaşkınlık, öfke"
Mükemmel bir uygulama.,performans,pozitif,90,mutluluk
"Sürekli hata veriyor, her 3 4 günde bir silip tekrar yüklüyorum gına geldi. İptal ettim ondan dolayı",performans/arayüz,negatif,20,hayal kırıklığı
""" o kadar berbat basit hatalarla dolu ki. Ses kalitesi gerçekten çok iyi, ancak arayüz aşırı karışık ve kullanımı zor. Kullanıcı deneyimi açısından oldukça geride kalmış. Bu yüzden Spotify kullanmayı tercih ediyorum. Bir de bildirim paneline favori parça ekleme tuşu eklenirse çok daha kullanışlı olur. Daha basit ve pratik bir arayüz istiyoruz!""",arayüz,negatif,20,hayal kırıklığı
mükemmel illaki appleda olması biraz üzücü ama yinede olsun diğer platformlara oranla hem ucuz ve daha yüksek kalitede müzik dinlemenizi sağlıyor eğerki isitme kaybınız yoksa 😅,fiyat/içerik,pozitif,80,mutluluk
SAKIN İNDİRMEYİN ÜYELİK AÇINCA ÜYELİK İPTALİ YAPILMIYOR ÜSTÜNE İPTAL ETMEDİKLERİ ÜYEDEN ÜCRET KESİYORLAR !!!! CIMERE ŞİKAYET EDICEGIM SİZİ!!!!!,üyelik işlemleri,negatif,95,"öfke, hayal kırıklığı"
"it provides hi res lossless, studio audio quality it's perfect for music lovers",performans,pozitif,90,mutluluk
Spotifydan nefret ettiğim için geçtim ama spotify'ın yerel dosya özelliğini özlemiyor değilim. Apple a gelse çok daha güzel olurdu,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,30,"öfke, hayal kırıklığı"
☆☆☆☆☆ yıldız verdim❤😍,performans/arayüz,pozitif,90,mutluluk
"Plandan çıkınca yaptığım listelere de erişemeyeceğimi bilseydim ücretsiz bile kullanmazdım. Ben uzun listeler yaparım. Kaydırma yok şu anda. Kullanışlı değil. Denemek için kullandım, anlayacağımı anladım, siliyorum.",arayüz,negatif,20,hayal kırıklığı
Benim için önemli olan ses kalitesi olduğu için spotify yerine artık bu uygulamayı kullanıyorum unarım ses kalitesinden ödün vermezsiniz.,performans,pozitif,80,mutluluk
Tırt.,performans,negatif,10,hayal kırıklığı
Cant cast lyrics with chromecast device,performans,negatif,20,hayal kırıklığı
cunku apple xD,arayüz,nötr,50,nötr
"Apple Music Classical Türkiye'de aktif olana kadar, ortak playlist ve jam özelliği de Türkiye'ye sunulana kadar 1 yıldız. Bir işi ya tam yapın ya da hiç yapmayın",performans/arayüz/fiyat/içerik,negatif,20,hayal kırıklığı
"Ses kalitesi, minimalist tasarımı ve uygun fiyatı sebebiyle kullanmaktayım. Diğer platformlarda bu seçenekleri düzgün bir şekilde bulamadığımdan, kalıcı olarak sadece Apple Music'i kullanmaktayım.",performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,80,memnuniyet
Kötü,genel,negatif,0,üzüntü
"Tam anlamıyla mükemmel, ses kalitesi kayıpsız ses gibi özellikler ile mükemmel hele hele sterio ses bulunan bir kulaklık kullanıyorsanız çok iyi ben apple nın Earpods Usb-C kulaklığını kullanıyorum",performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
"Ses kalitesini seviyorum. Uygulamanın sadeliğini seviyorum. Tek bir sorun var, benim playlistim çok uzun yaklaşık 400den fazla şarkı var ve bazen bug'a giriyor. En aşağı indiğimde şarkılar tekrarlıyor ve sanki daha fazla şarkı eklemişim gibi duruyor ama çıkıp geri girdiğimde düzeliyor. Bu sorunu halledebilirlerse çok güzel olacak.",performans,pozitif,80,mutluluk
Bet,performans,nötr,50,nötr
Əla,performans,pozitif,80,mutluluk
"an itibariyle çalışmayı durdurdu. telefonum android, samsung a24. önbellek temizlemek veya silip yüklemeköişe yaramıyor ve çözüm değil.",performans,negatif,20,hayal kırıklığı
Çok güzel bir uygulama,arayüz,pozitif,90,mutluluk
Çok kaliteli sadece bazı izinleri sürekli tekrarlamak gerekiyor ama bence sorun yok,performans,pozitif,80,mutluluk
Tek kelime ile mükemmel ses kalitesi çok iyi,performans,pozitif,90,mutluluk
Çalışmıyor ve çalmıyor...,performans,negatif,10,hayal kırıklığı
Ses kalitesi iyi ancak çalma listesinde müzik geçişlerinde kısılarak geçtiği için sesler birbirine karışıyor. Ayarlarda da bunu kapatmak için bir yer yok. Bu düzeltilirse 4 yıldızı hak eden bir uygulama bana göre.,performans,negatif,30,hayal kirikligi
O kadar iyi ki anlatamam çok güzel,performans,pozitif,90,mutluluk
ses kalitesi olmasa yüzüne bakmam bu uygulamanın spotifya hifi geldiğinde sileceğim.,ses kalitesi,negatif,20,hayal kırıklığı
Berbat çok kötü istediğim şarkıyı bile bulamıyor,arayüz,negatif,10,hayal kırıklığı
"Apple Music, kendine has, yumuşak geçişli animasyonlu ve kanımca kolayca anlaşılır arayüzüyle 3 ayrı abonelikten birini (Bireysel (39,99₺), Aile (59,99₺) ve Öğrenci (doğrulama gerekli)(19,99₺)) tercih ederek kayıpsız (16 - 24 bit, 44 - 48 kHz), yüksek çözünürlüklü (24 bit, 96 kHz) ve yüksek çözünürlüklü kayıpsız (24 bit, 192 kHz) ses değerlerinde şarkılar dinleyebildiginiz, ses kalitesine önem veren bir uygulamadır. Apple ID hesabı gerektirir bilginize. bkz.",arayüz/fiyat/içerik,pozitif,90,mutluluk
"android telefonlarda kasıyor, şarkıyı açmıyor ya da kendi kendine atlıyor",performans,negatif,20,hayal kırıklığı
Uygulama bozuldu çalışmıyor hiçbir şekikde şarkı dinleyemiyorum sildim yeniden yükledim yine değişmedi üstelik üyeliğim var,performans/arayüz,negatif,20,hayal kırıklığı
"estetik açıdan, fiyat açısından ve mix açısından gayet uygun ama çeşitli optimizasyon sıkıntılarına sahip. dokununca geç algılaması ya da kendi kendine kapanması gibi. bu gibi çökmeler, kasmalar düzeltilirse problemlerin, sorunların çoğu çözülür. arayüz daha basit hâle getirilebilir. (kendi çalma listelerimiz görünse mesela. spotify gibi ya da youtube music gibi.) video seçeneği getirilebilir. istasyonları favorileyebilsek bir de. önerilerim bunlar. mantıklı tavsiyeler bence.",arayüz/fiyat/performans,pozitif,70,umut
en kalite💯,performans,pozitif,90,mutluluk
Para yüklemediğimiz sürece buradan şarkı indiremiyor muyuz? Sadece dinlemek mi mümkün?,fiyat,negatif,30,hayal kırıklığı
Mükemmel Spotify dan daha iyi,performans,pozitif,90,mutluluk
Ses kalitesi mükemmel ama kendi kendine sesi açıp kısmak nedir abi bu sorunu bir tek benmi yaşıyorum acaba ?,performans,negatif,30,hayal kırıklığı
çok iyi ses kalitesi,performans,pozitif,90,mutluluk
Güçgeldi,performans,negatif,20,hayal kırıklığı
Gerçekten güzel bir program,performans,pozitif,90,mutluluk
Spotify den ucuz,fiyat,pozitif,80,mutluluk
Adamlar - Benden Bana isimli parça şu anda yok hatası alıyorum nasıl yok ya,performans,negatif,30,hayal kırıklığı
Uzun zamandır kullanıyorum diğer bütün müzik uygulamalarını yok eder.Uzamsal ses kayıpsız ses vs efsane özellikler var.Tek sorunum şu müzikler biraz yavaş yükleniyor başkada herhangi bir sorun yok.,performans/arayüz,pozitif,90,mutluluk
Bu çok iyi 👍👍👍.,performans,pozitif,90,mutluluk
"yeni sarki bulamiyorum, zevkime gore sarki onermiyor cok sıkıcı ama ses kalitesi muazzam👑👑",müzik,negatif,20,hayal kırıklığı
sorunlu musunuz hesaba inceleme atmışsınız?,müşteri hizmetleri,negatif,20,utanç
"çok kasıyor, şarkıları açmaya çalışıyorum açıkmıyor telefonu yeniden başlatmam gerekiyor. düzeltin şunh",performans,negatif,20,hayal kırıklığı
Çok iyy,arayüz,negatif,10,tiksinti
Androidde anlık olarak uygulama 5 gündür çalışmıyor,performans,negatif,20,hayal kırıklığı
Şarkı için para istiyor sakın yüklemeyin spotify,fiyat,negatif,20,hayal kırıklığı
çok güzel,genel,pozitif,90,mutluluk
Hesaba giriş yapılmıyor,arayüz,negatif,20,hayal kırıklığı
Uygulama Spotify dan çok iyi ewet ama ara yüzü birazcık zor onun dışında çok iyi bir uygulama,arayüz,pozitif,70,mutluluk
Uygulamaya giriş yap ekranında giriş yapmama rağmen hiçbirşey olmuyor hesaplarıma girmiyor ve abonelik ücretim alındı bu ne saçma şey böyle ?,arayüz,negatif,20,hayal kırıklığı
Apple daha iyisi varmı 😄,performans/arayüz/fiyat,pozitif,80,mutluluk
kullanışsız kötü arayüz,arayüz,negatif,20,hayal kırıklığı
ücretli almama rağmen şu anda uygulama çalışmıyor listelerini açamıyorum çalmıyor,performans/arayüz/fiyat,negatif,20,hayal kırıklığı
Şarkılar doğru dürüst ilerlemiyor kesinlikle bir sptfy etmez androidde düzgün çalışmıyor optimizasyon sorunları mevcut olsada olur olmasada olur bi uygulama 👎🏼,performans/arayüz,negatif,20,hayal kırıklığı
Yt music kullanın aptal şapşal programlara para vermeyin.,müzik uygulamaları,negatif,10,öfke
Spotify dan çok daha ucuz ve daha güzel özellikleri var,fiyat/arayüz,pozitif,80,mutluluk
Mükemmel bir ses kalitesi var,performans,pozitif,90,mutluluk
güzel bir platform şarkıları yüksek kalitede kayıpsız şekilde dinleyebilirsunuz tek eksi yönü istasyon farklı şarkılar gelirse müthiş olur,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,80,mutluluk
☺😊,arayüz,pozitif,80,mutluluk
