content,score,at
mükemmelll,5,2025-07-02 18:38:24
"Premium abonelik alalım diye elinizden geleni yapıyorsunuz, her şeyi kısıtlamaya başladınız, uygulamayı kaldırırım olur biter, zaten reklamlardan kazanıyorsunuz.",1,2025-07-02 18:32:53
Yav şarkı seçmeyi neden premium yaparsın ki başka özellik mi bulamadınız premium yapacak sizin yapacağınız uygulamaya,1,2025-07-02 18:10:36
atlama sayısı sinirimi bozuyo,3,2025-07-02 17:51:22
Çok güzel uygulama,5,2025-07-02 17:24:16
preminum özellikleri fazla onun dışında çok güzel bir uygulama,4,2025-07-02 17:18:16
sürekli çöküyo şarkıları çalmıyo,1,2025-07-02 17:17:15
yazılan şarkı başka açılan başka nasıl uygulama anlamadım,1,2025-07-02 16:59:53
severek kullanıyorum,5,2025-07-02 16:52:15
reklam her uygulamada olur istedigim bütün şarkılar var ve daha fazlası teşekkürler spotifiy♥️,5,2025-07-02 16:07:56
çok güzel,5,2025-07-02 15:56:36
herşeyi premium yaparsanız hiç birşey dinleyemeyiz,3,2025-07-02 15:39:28
waiting for this apps downfall🙏(theyre money hungry),1,2025-07-02 15:09:52
uygulama güzel hoş tamam ama premium üyelik aldım aile paketi ve ilk ay ücretsiz dendi ilk günden itibaren de hwr ay çatır çatır ücret alıyorlar nasıl iş anlamadım,1,2025-07-02 15:00:28
guzel sarkilar var ise yarayabilir ama aradigim sarkilarin cogunlugu yok ve resmen premium almamiz icin surekli reklam koyuyor 6 tane sarki atlama hakki veriyor bir sure sonra yarin tekrar istedigin sarkiyi dinleyebilirsin diyor yani resmen premium alalim diye zorluyor param yok belki alamiyorum hani nefret ettirdi eskiden boyle degildi iyice bozdu 2 yildizi bile hak etmiyor.,2,2025-07-02 14:47:50
iyi güzel uygulama ama uygulamada şöyle bi sorun var: Başlangıçta preminyum almadan önce bana şarkı sözlerini erişmem için premimyum almamı istiyordu bende aldım ama şimdide şarkı sözlerini açtıktan sonra diğer şarkıya geçince şarkı sözleri kapanıyor şarkı kapağına gidiyor ve bu da çok sinir bozucu ben sözlerine bakarak bi andanda onu söylemek istiyorum dinlerken ama spoty yani siz buna izin vermiyorsunuz.,4,2025-07-02 14:31:41
Seviyorum,5,2025-07-02 14:30:32
bu ara çok fazla reklam çıkıyor ve bazı şarkılarda şarkı sözleri yanlış bu düzeltilsin lütfen.,4,2025-07-02 14:10:49
👍,5,2025-07-02 13:18:48
👍👍👍👍,5,2025-07-02 13:03:48
gerçekten mükemmel bir uygulama. bu pis cimriler uygulamaya para vermedikleri için şikayet ediyolar. siz onları aldırmayın. uygulama gerçekten çok kaliteli ve kullanışlı. yt music mi bu mu derseniz ben bu derim fakat bazı şarkılar spotify da yok eğer yine aynı kalite aynı fiyat istiyosanız yt music tercih edebilirsiniz.,1,2025-07-02 12:02:02
Çok güzel,5,2025-07-02 11:56:22
reklam çıkması dışında gayet güzel bir uygulama olduğunu düşünüyorum kullanmanızı tavsiye ederim,5,2025-07-02 11:33:08
çok reklam var fakat ben 2 aydır kullanıyorum ve premiumsuz da oluyor AMA LÜTFEN 6 TANE DEĞİŞTİRME HAKKINI ESKİ SÜRÜMLERDE DE KALDIRIN iyi günler,4,2025-07-02 11:29:17
teşekkürler,5,2025-07-02 11:05:06
"uygulama kapalı olunca da çalıyor YouTube'a girdiğinde kapanıyor kendisi nerede kapanacağını biliyor küfürlü arka müzikler geldiğinde onları çalmıyor fakat ismi gözüküyor bence herkes dinleyebilir, sevdiğimiz sanatçılara destek olmak istersek de seçenekler var takip edebiliyoruz beğenilen şarkılarda çok kullanışlı oynama listelerinde hangi müzikle hangi müzikleri gruplandırmak istiyorsak oynatma listelerine koyuyoruz istediğimiz kadar yapabiliyoruz benim bildiğim. kesinlikle 5 puan 5 puan 5puan",5,2025-07-02 10:52:35
gayet iyi,4,2025-07-02 10:31:24
GRUP YORUM ŞARKILARINI GERİ GETİRİN ARTIK YOKSA ÜYELİĞİMİ İPTAL EDERİM,4,2025-07-02 10:25:27
son dönemde iyice bozdu premium üyelik için herşeyi yapıyorlar. her şarkı sonrası uzun reklam istediğin şarkıyı seçememe vb saçmalıklar uygulamayı silmeme az kaldı,1,2025-07-02 09:59:47
iyi,5,2025-07-02 08:18:07
süper,5,2025-07-02 08:12:40
müthiş bir uygulama severek kullanıyorum,5,2025-07-02 07:57:37
reklam çok fazla,3,2025-07-02 07:13:32
Harikasiniz,5,2025-07-02 06:43:40
kısaca çok güzel süper,5,2025-07-02 01:51:53
çok iyi tek sözbu,5,2025-07-02 00:47:46
gayet güzel sadece film müziklerinde eksiklikler var,5,2025-07-02 00:11:12
cooookkk guzeeeellll,5,2025-07-01 23:54:59
Bizim insanlar bedavaya alışmışlar. Premium çerez parası olmasına rağmen almıyorlar üstüne neden bedavaya istediğim kadar müzik çalamıyorum diyorlar bu tamamen cahillik. Bence uygulama mükemmel ben herhangi bi problem yaşamadım.(PREMİUM KULLANIYORUM). ücretsiz plan bence deneme için gayet iyi çok fazla müzik dinliyorsanız kesinlikle premium almanız gerek.,5,2025-07-01 23:50:22
ŞARKI DİNLEMEYİ GİDEREK İMKANSİZ HALE GETİRİYORLAAR YUKLEMEYİNN BERBAAAT,1,2025-07-01 23:30:34
ben para yatırmak zorunda değilim. rezil bir uygulama. bu kadar ünü ve puanı da zerre hak etmiyor. eğer 0 puan olsaydı 0 puanda verirdim. ben myt den devam.,1,2025-07-01 22:52:14
severek kullanıyordum ama artık müzik değiştirdiğimde hiç bilmediğim parçalar çıkıyor nasıl düzelteceğim bilmiyorum kendi listemi dinleyemiyorum @spotify,5,2025-07-01 22:45:57
misss ✨️,5,2025-07-01 22:44:27
"reklam çok çıkmakta bir müzik dinliyorum reklam ama onun dışında güzel 4,5 hakediyor 4,5 veremediğim için 4 dedim",4,2025-07-01 22:27:59
Olm bu adamlar ne yapmaya çalışıyor? abicim müzik seçme ve atlamayı premuim yapmak hangi zekinin fikriydi.,1,2025-07-01 22:21:04
"Bu uygulamayı indirmeyin, sırf premium almanız için ellerinden geleni yapıyorlar. Tavsiye etmem berbat bir uygulama!",1,2025-07-01 22:18:52
Rezil bir uygulama dakika başı reklam çıkıyor hadi neyse de şarkı seçme hakkı ne saçma şey para vermedim diye istediğim şarkıyı dinliyemiyorum uygulamayı kullanmanın mantığı kalmıyor acil duzeltmeleri lazım,1,2025-07-01 22:09:08
harika uygulama,5,2025-07-01 22:07:17
premium almadiginiz zaman tüm haklarınızı kısıtlıyorlar iğrenç bir şey bence bunu indirmek yerine daha güzel uygulamalar var onları indirin,1,2025-07-01 21:51:20
Giriş sağlıyamıyorum şifremi unuttum giremiyorum uygulamanıza seçenek sunmanız gerekli,1,2025-07-01 21:28:45
istediğim şarkıyı bile açamıyorum insana zorla premium aldırmaya çalışıyorlar,1,2025-07-01 20:38:28
sürekli reklam sürekli reklam premium da premium doğru dürüst şarkı dinliyemiyoruz,1,2025-07-01 20:13:18
çokkk güzel bir uygulama,5,2025-07-01 20:02:52
MÜKEMMEL,5,2025-07-01 19:59:27
Süreklu premium alalım diye zorlamalarindan sıkıldım .Her hangi bir şarkıya tıkladığımda premium istiyor. Resmen bizi zorluyorlar ve spotify silip tekrar yüklemeniz gerekiyor şarkı dinlemeniz için değiştirin şunu çok kötü.,2,2025-07-01 19:53:54
premium almadan rahat bırakmıyor ama iyi,5,2025-07-01 19:20:23
paranız varsa mükemmel yoksa uğraşmayin değmez,1,2025-07-01 19:07:25
👍🏻,5,2025-07-01 18:57:41
Gerçekten çok iyi premium da gerçekten çok iyi 1 aylık aldım ilk deneyimlik süperr büe uygulama tersini förmedim gönül rahatlığı ile yükleyebilirsiniz! Gönül rahatlığıyla öneriyorum... 😍,5,2025-07-01 18:15:53
Bedava kullanıyorum diye arttırsanız dahi reklamları sineye çekiyorum ama son güncellemeler sonrasında bir albümün dinlenmesini de kısıtladınız. Albümü sırasıyla da dinletmiyordunuz ama artık bir parça sonra benzer parça diye başka bir albüme/şarkıcıya ya da şarkıya atlatıyorsunuz. Tekrar albüme dönmek için uğraşıyorum. Bu hakikaten edepsizce bir ticari tutum.,1,2025-07-01 18:06:16
bence cok guzwl bir uygulama,5,2025-07-01 17:26:21
BU NE OLUM BU NE AGİZ TADİYLA MUZİK BİLE DİNLEYEMİYORUZ HER MUZİKTEN SKNRA REKLAM Mİ KONUR LAN Bİ DE İSTEDİGİMİZ SARKİYİ GECMİYOZ YADA SECEMİYOZ NE LAN BU NE yani Velhasıl kelam lütfen Kuzey Kore'de muzik dinliyom gibi hissetmek istemiyorum :),1,2025-07-01 17:05:07
mükemmel,5,2025-07-01 16:15:41
uygulama çok güzel ama Eğer çok fazla istediğimiz müziği atlarsak reklam çıkabiliyor ama eskisi daha güzeldi yani Ama yine de şimdi birazcık daha kötü,3,2025-07-01 16:04:06
uygulama çok güzel ama reklamlar çok ve çok az seçmevar ama çok güzel bir uygulama.,5,2025-07-01 16:00:20
güzel,4,2025-07-01 15:43:42
çok teşekkür,5,2025-07-01 15:31:28
gayet güzel,5,2025-07-01 14:59:33
AŞŞIRI GÜZELLL!,5,2025-07-01 14:41:28
çok iyi,5,2025-07-01 14:14:48
bence çok güzel ama internetsiz olsaydı daha güzel olurdu herkeze öneriyorumm!!,4,2025-07-01 14:06:06
Rakipsiz en iyisi,5,2025-07-01 13:15:45
Bence gayet iyi bir uygulama.Eğer bana bir şarkı uygulaması söyle deseler Spotify derdim,5,2025-07-01 13:11:20
Her şey paralı 1 ay kullandım sonra istediğim müziği kullanamaz oldum Bu uygulamayı indirmeyin,1,2025-07-01 12:45:54
O kadar mükemmel ki şuan yorum yazacak değilim,5,2025-07-01 12:01:54
gayet güzel bir uygulama öneriyorum,5,2025-07-01 11:59:26
paran yoksa şarkı bile seçtirtmiyorlar,1,2025-07-01 11:18:31
çevrimdışı dinlemek için içerik indiriyorsun daha sonra uygulamaya güncelleme geliyor uygulamayı güncelledikten sonra indirdiğin çevrimdışı içeriklere bir daha ulaşamıyor ve tekrar çevrimiçi dinlemek zorunda kalıyorsun ya da tekrar tekrar aynı içerikleri telefonuna indirmeye devam ediyorsun,3,2025-07-01 11:08:25
BLOK 3 şarkıları Hiç çıkmıyor Ama kalite efsane Hakan abiye selam söyleyin,5,2025-07-01 10:26:42
çok güzelll,5,2025-07-01 08:55:05
ben çok sevdim mesela bir şarkının bitmemesini istiyorsanız bir düğmeye basarak şarkı bitince kendiliğinden tekrar açılıyo,5,2025-07-01 08:25:39
Güzel ama pıremiyum olmasa günde 30 - 20 müzik dinletiyor.,3,2025-07-01 06:14:12
mukemmelbinsey haftalık ortalama 9.36 saatim var siz dusunun,5,2025-07-01 01:08:56
guzel,5,2025-07-01 00:56:59
ya uygulama iyi ama bir yıldızın kırılmasını 3 sebebi var ●Telefonda akıllı mixi kapatamıyorum şarkılar istediğim gibi çalmıyor ●Deneme sürümünü kart bilgilerini girmeden etkinleştirilmelidir ●Telefonda da bilgisayarda da dinliyorum ikisinde de çok reklam oluyor iki şarkıdan sonra reklam,4,2025-07-01 00:50:37
bu uygulama kesinlikle beşi hak ediyor ever paralı ama harika,5,2025-07-01 00:50:29
tek kelime ile mükemmel,5,2025-07-01 00:43:13
bence iyi fena değil ama reklamlar kısaltılabilir,5,2025-06-30 23:54:10
çok güzel gayet iyi parasız indirme özelliği gelirse mükemmel olur,5,2025-06-30 23:32:49
İstediğim şarkıyı dinleyip favorileyebiliyorum şarkıları dinlemeyi çok severim benim için müthiş bir uygulama öneririm,5,2025-06-30 23:28:38
premium olmadığı sürece çekilecek çile değil yani uygulamayı kullanacaksınız almanız lazım onun harici güzel işte,5,2025-06-30 23:19:58
ücretsiz dinliyordum premium üyelik zorluyor çok kötü myt müzik daha iyi,1,2025-06-30 23:07:57
50 şarkı 40 reklam....,1,2025-06-30 23:00:53
çok iyi tavsiye ederimmm,5,2025-06-30 22:56:59
uygulamasa bir yerden sonra premiumu keşfedin diyor çok rahatsız edici,5,2025-06-30 22:13:13
uygulama epeyce iyi ama biraz paralı,5,2025-06-30 22:11:43
Güzel)),4,2025-06-30 21:59:39
çok fazla reklam var ve hep herşeyde para istiyor😠,3,2025-06-30 21:25:02
çok iyi valahhh,5,2025-06-30 20:58:58
gerçekten çok seviyorum ve yıllardır kullanıyorum!!!! Şarkıları dinlerken melodilerine kapılıp gidiyorum. Uygulama aşırı iyi ve kaliteli!!!! ELİNİZE SAĞLIKKKKKKKKK<3,5,2025-06-30 20:51:39
çok reklam var,4,2025-06-30 20:37:56
brooooo,5,2025-06-30 20:30:31
arkadaşlar kesin indirin premium falan birşeyler diyor efsane olmuş arada şarkı giriyor yanlışlıkla o düzeltilebilir belki çünkü eminim hepimiz sürekli spotify premium diyen adamı dinlemek istiyoruzdur (!),2,2025-06-30 19:29:18
mükemmels.,3,2025-06-30 19:28:23
premium unuz yoksa bittiniz,1,2025-06-30 18:48:20
Muazzam,5,2025-06-30 18:25:09
"çok iyi, premium yok ise reklamdan dinleyemiyosunuz o kadar onu dışında mükemmel",5,2025-06-30 18:18:55
öne çıksın diye 5 verdim yıllardır kullanıyorum eskiden baya iyiydi şimdi premium üyelik de aldım hikayeye şarkı koymayı çok seven biriyim ancak Android kullanıcılarına iPhone kullanıcıları kadar estetik görünüm tanımıyorlar bi ara şarkıların aralarını ayırmışlardı şimdi paylaşmak istediğimde küçücük oluyor hoşuma gitmiyor lütfen Android kullanıcılarına destek 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,5,2025-06-30 18:06:39
şarkı değil reklam dinlemek istiyorum derseniz oooo tam size göre bir uygulama,1,2025-06-30 17:32:06
birşürü işi var ben hemen dinlemek istiyorum 👎👎,1,2025-06-30 17:01:24
internetli ya ve her şarkıdan sonra neredeyse reklam çıkıyor,1,2025-06-30 16:54:56
Harika,5,2025-06-30 16:51:16
güzel sadece reklamlar almasa güzel,5,2025-06-30 16:49:19
Mükemmel bir uygulama severek kullanıyorum bence toplumda seviyordur.Umarım sizde beğenirsiniz,5,2025-06-30 16:24:04
Gayet iyi ama neredeyse her iki şarkı da bir reklam çıkıyor ve bu reklamlar geçilemez 15-20 saniyelik reklamlar,3,2025-06-30 15:51:01
fiyatlarda biraz daha hesaplı olsa varya🤪,5,2025-06-30 15:48:52
Spotify güzel bir uygulama,5,2025-06-30 15:14:20
bu uygulama çok kötü sadece şarkı dinlemek için girmiştim ve hesabım gittiği için dinleyemedim hesabıma geri girmeye çalıştım ama bir türlü olmadı gayet memnun değilim onun yerine YT müzikten dinleseydim daha iyi olurdu diyip duruyorum,1,2025-06-30 14:48:41
sürekli reklam koymayın artık 🙏🏻,4,2025-06-30 14:43:20
"eğer sırayla dinleyebilmek müzikleri bir zaman sonra izin vermiyo sırayla dinlemeye izin verse 5,5,5",4,2025-06-30 14:41:21
tek kelime ile mupppp,5,2025-06-30 14:26:23
mükemel sportify,5,2025-06-30 14:04:08
Premium olmayanlar da önceden bir reklam veriyordu artık iki reklam veriyor. İki tane 30 saniyelik reklam çok sıkıyor. Ve beni ilgilendirmeyen reklamları ( premium al diyenleri değil ) engelliyorum ama yine de tekrar tekrar vermeye devam ediyor.,4,2025-06-30 13:27:50
çok iyi ama bazenleri kendi kendine kapanıyor🙂,4,2025-06-30 13:16:28
çok güzel uygulama ama sürekli Premium olmamı söylüyor,5,2025-06-30 13:11:22
çok güzel teşekkürler,5,2025-06-30 12:16:45
uygulama çok güzel öneririm yakında premium halini de deneyeceğim,4,2025-06-30 11:15:48
harika bir uygulama 🤩🤩🤩🤩🤩,5,2025-06-30 10:28:12
"işi iyice paraya çevirdiniz, internetten bedavaya indirip dinleyebilecegim şarkıyı dinlemek için üyelik istiyorsunuz, ASLA ÜYE OLMAM, insanları önce kendinize alıştırıp sonra ver parayı yoksa şarkı yok demek kan emici bir tavırdır 😡",1,2025-06-30 10:04:11
1 yıldızı uygulamanın widgetlerinin özelleştirilebilir olmaması için kırdım. 2.cisi ise müziği beğenenlere eklemekle beraber direk albümlere ekleyebilme özelliği olmalıdır.,4,2025-06-30 09:28:34
Harika,4,2025-06-30 07:26:55
Reklam reklam reklam. yükledikten iki gün sonra şarkı seçtirmiyor. sil tekrar yükle. Tamamen silip kullanmayacağım. Berbat,1,2025-06-30 03:49:41
"Bu kadar paragöz bir uygulama görmedim. İstediğim zaman istediğim şarkıyı seçip dinleyemeyeceksem uygulamanın telefonumda işi ne, direk siliyorum, bedava alternatifleri var, bunlara para yedirmeyin, biz bu şirketlere muhtaç değiliz onlar bize muhtaç.Tepkinizi koyun hesabınızı silin bakın nasıl ücretsiz yapıyorlar.",1,2025-06-30 02:23:24
harika,5,2025-06-30 01:11:42
keşke daha az reklam verseler reklamlar çok fazla var ve ÖNERDİĞİN ŞARKILARI KENDİ SEÇTİĞİM ŞARKILARIN ARASINDA DİNLEMEK İSTEMİYORUM,3,2025-06-30 01:06:47
aynı hesaptan iki tane oturum açılmıyor,1,2025-06-30 00:04:14
.çok güzel.,5,2025-06-29 23:59:28
Bazı klasik şarkılar yok eksikliğini yaşıyoruz,4,2025-06-29 23:54:22
çok güzel ama çok fazla reklam geliyor reklamda rahatsız etmediği için puan kırmadım,5,2025-06-29 23:26:03
spofiy güzel ama şarkıyı istediğimiz yere sürükleyemiyoruz yani istediğimiz kısma ilerletemmiyoruz ve videolar sürekli aynı tekrarı yapıyor ve sürekli reklam çıkıyor onun dışında güzel,4,2025-06-29 23:00:39
spotify olmasaydı nefes alamazdım.,5,2025-06-29 22:57:36
Çok güzel istediğimiz müzikleri her tarzda bulabiliyoruz...,5,2025-06-29 22:49:49
çünkü premium isteyip duruyor,3,2025-06-29 22:34:10
Yaxşı dı,4,2025-06-29 22:11:32
mükemmel,5,2025-06-29 21:26:36
Youtube premium kullanan biri olarak sürekli memnundum aslında memnun olduğumu sanıyormuşum spotify premium alana kadar sürekli tekrarlanan şarkılar yok hep değişik ama tarzım olan parçalar ama en beğendiğim özellik isyerinde tablette kulaklikla dinliyorum tabletin yaninda olmadığım zaman telefondaki spotify ile şarkıları değiştiriyorum tek uygulama iki farkli cihazda sekronize çalışıyor istediğim yerden kontrol edebiliyorum harika özellik,5,2025-06-29 20:14:02
çok iyi,5,2025-06-29 20:03:46
çok iyi bir platform aşırı seviyorum,5,2025-06-29 20:00:34
Çok kullanışlı ve faydalı,5,2025-06-29 19:51:24
premium olmasına rağmen o kadar para veriyorum ama kamerası okumuyor programdan atıyor ne saçmalık bu ya,1,2025-06-29 19:44:25
şarkı değiştirmek sıradan çalma bile paralı. çok kötü bir uygulama bir yıldız ı bile hak etmiyor. para gözler telif haklarını ödüyorlar mı acaba,1,2025-06-29 19:31:12
çok iyi,5,2025-06-29 19:06:38
çok güzel uygulama.,5,2025-06-29 18:50:48
çok güzel uygulama babamdan daha fazla zaman geçiriyorum,5,2025-06-29 17:44:36
cokkkk seviyommm,5,2025-06-29 17:05:04
çok beğendim ellerinize sağlık,5,2025-06-29 16:40:34
"o kadar kac aylık premium abonesiyim bende ""bu calma listesini ye"" ozelligi niye yok 🥀💔",1,2025-06-29 16:34:30
keşke istediğim gibi şarkı dinlesem premium olmasa,3,2025-06-29 16:22:57
Spotify eski haline dönene kadar yüklemeyeceğim sacmaladiniz iyice,5,2025-06-29 16:06:21
öneriyorum bayıldım..,5,2025-06-29 15:07:40
Müzik dinlemek için müthiş bir uygulama başka bir açıklamam zaten yok eğer bu yorumumu faydalı gördüyseniz beğenebilirsiniz 🎀💗,1,2025-06-29 15:03:38
mük,5,2025-06-29 13:46:24
👑,5,2025-06-29 13:44:00
"sarki dinlemek istiyorum premium istiyo.Ben istedigim gibi şarkı dinliyemiyecek isem niye yükledim ki? her şey premiumlu, yeter.",1,2025-06-29 13:03:21
premium almamız için bildiğin zorbalık yiyoruz. inadına sevmediğim dinlemediğim sanatçıları açıyor.,1,2025-06-29 12:53:44
müzik dinlemek için para vermek kadar saçma birşey yok.,5,2025-06-29 12:23:29
"Her istediğim müzik türünü, podcasti bulabiliyorum. Ve güvenli bir uygulama",5,2025-06-29 11:42:14
harika çok iyisiniz,5,2025-06-29 08:04:03
premium almayana dilenci gibi davrandiktan sonra (art arda 3 reklam),1,2025-06-29 07:02:51
mükemmel lo,5,2025-06-29 05:19:05
rakipsiz,5,2025-06-29 02:19:49
inernesiz olsa iyi olurmuş,5,2025-06-29 00:22:56
"Gayet güzel, bir sürü şarkının yanında phonk, speed up, remix ve nightcore şarkılar da var. Kendi müzik listelerinizi yapabiliyorsunuz, isterseniz yayınlayabiliyorsunuz. ancak bir puanı kırma sebebim, internetsiz dinleyemiyorsunuz. Bunu duzeltseler uygulamayı kullanan çok olur",4,2025-06-28 23:20:49
iyi güzel ama reklam olmasa,5,2025-06-28 22:59:50
internetsiz olsa daha iyi olur*･ﾟﾟ･*:.｡..｡.:*ﾟ:*:✼✿　　,5,2025-06-28 22:48:32
sehrrrrrrrr guttttttttttt meger ist diese app,5,2025-06-28 22:43:11
çokkkkkkkkkkkkkkı güzelllllllllllllkk,5,2025-06-28 22:40:18
👍,5,2025-06-28 21:34:17
süper,5,2025-06-28 21:09:59
çok iyi,5,2025-06-28 21:09:19
Müq ya,5,2025-06-28 21:07:22
şarkı sınırı olmasa daha iyiydi,5,2025-06-28 20:11:39
"aslında 4,5 verecektim ama yine 5 verdim arkadaşlar bilginiz olsun sporu internette dinleyebiliyorsunuz internetsiz bir şekilde dinleyemez sezon haricinde çok güzel ama premium almanız lazım almak zorunlu değil ama istediğin şarkıları yani beğendiğiniz şarkıları falan sırayla çalmıyor karışık çalıyor onun dışında ses kalitesi de çok güzel",5,2025-06-28 19:53:13
Çok iyi,5,2025-06-28 19:52:25
tekk kelimeyle mükemmell😍,5,2025-06-28 19:08:59
hiç sevmedim çünkü arayüzü parçalırı yok diyor dinleyemiyorum,1,2025-06-28 18:50:32
çok güzel bir uygulama,5,2025-06-28 18:43:08
çok güzel Bir uygulama,5,2025-06-28 18:19:14
Çok iyi ama şu önerilen şarkılardan bıktım iyi şalllah bu sorunu düzeltir sin Spotify😁🙏🏻,5,2025-06-28 18:12:55
çok reklam çıkıyor,2,2025-06-28 15:32:52
Çok fazla reklam var onun dışında playlist özelliği harika çok beğendim ancak reklamlar azaltılmalı bu kanaatteyim,3,2025-06-28 15:29:40
İnternetlide çalışsa çok iyi benden 5 yıldız alırdı.,4,2025-06-28 15:23:10
bence güzel her yerde her zaman dinlenecek ama mesela benim hesapım birisiyle aynı e ozaman nasıl dinleyeceğiz ben benim ablamla hesapımız aynı ve onun biz dinleyemiyoruz🎀💕,4,2025-06-28 15:00:19
ben premiumumu aldım memnunum gayet çok güzel.,5,2025-06-28 14:03:20
premium almadan çoğü şey yapilmiyo,3,2025-06-28 13:59:39
🤮,1,2025-06-28 13:44:33
reklâmlar çok fazla aslında...ama ondan ziyade çok güzel bi uygulama,5,2025-06-28 13:19:13
"o Spotify,a kızıy Ken ben ise myt çocuğuydum",1,2025-06-28 13:13:31
Çok iyi,5,2025-06-28 13:12:32
güzel,5,2025-06-28 13:09:52
Ne ararsam buluyorum,4,2025-06-28 12:00:38
👍👍,5,2025-06-28 11:59:39
Önceden çok severek kullanırdım fakat şimdi neredeyse herşey premium oldu.Çalma listelerimdeki şarkılarımı dinleyemiyor ve hiç dinlemediğim saçma sapan şarkılar öneriyor ve ne zaman şarkıyı atlasam reklam çıkıyor.Sadece seçtiğim şarkıları dinlerken bunun olması çok sinir bozucu cidden... Belki de benimle birlikte böyle düşünen birçok kişi vardır lütfen bunu düzeltin!,1,2025-06-28 11:51:32
çok mükemmel bir plartfom,5,2025-06-28 11:44:05
çok güzel bir uygulama sadece premium reklamları girmese daha iyi olur,5,2025-06-28 11:36:43
"Gerçekten harika bir müzik uygulaması,herkese öneririm.İnternetli olması ve premium haricinde çok iyi Ama bu sorunlar çözülürse anlatılamayacak bir uygulama hâline döner.Herkese iyi günler dilerim:)))'",5,2025-06-28 10:32:25
ay cok harika ya bazen şarkılar Yotubeden once burada olur,5,2025-06-28 10:20:00
💗💗💗💗💗,5,2025-06-28 10:08:59
şahane mükemmel ama premıumlu değilim genede harika,5,2025-06-28 09:37:17
tek kelimeylemukemmel,5,2025-06-28 09:35:21
premiumla mukemmel uygulama ama premiumsuz bi ise yaramiyo,4,2025-06-28 09:16:41
tek kelimeyle mükemmel,5,2025-06-28 08:54:02
çok kötü her şarkıdan sonra reklam çıkıyor premium almazsanız ve saate 6 şarkı atlaya biliyorsunuz,1,2025-06-28 08:36:00
"Reklamlar çok sık çıkıyor ama bunun dışında herşeyi çok güzel, tanrı Spotify dinleyenlere uzun bir ömür ve sabır versin, amen",4,2025-06-28 08:17:19
En iyisi,1,2025-06-28 04:51:47
igrenc berbat bir uygulama cok severdim ama grup yorum şarkılarını kaldirdigi zaman uyeligimi sonlandirdim fizy kullanıyorum tavsiye ederim,1,2025-06-28 02:53:07
Çok reklam giriyo yeter artik,4,2025-06-28 01:31:17
bedavaya şarkı da dinleyemiyoz abi ya,1,2025-06-27 23:27:20
Tek kelime mükemmel,5,2025-06-27 23:07:33
"en iyisi... her zaman, her platformda.",5,2025-06-27 23:00:38
