content,score,at
maalesef severek kullandığım bu uygulamayı birdaha kullanmayacam yeni hesap oluşturamıyorum kod göndermesi için verdiğim e mail adresine kod göndermiyor uygulamada sorun var lütfen bunu düzeltin yoksa kimse bu uygulamayı kullanamaz,1,2025-05-19 22:42:14
yaw kocaman şirketsiniz şunu biraz daha tanıtın car curt yapın da global bir uygulama olsun tamam 10 veya 100 lira daha fazla al lan ama şu uygulamayı düzelt ses kalitesi yt music ve spoty den yüzde yüz daha iyi zaten genel uygulama kalitesi olarak spoty alır ama spotide şarkı çesitliliği yok music ve Apple kolayca bu konuda alır ama ses kalitesi dedinmi Apple sever atar ayrıca enayi gibi 100 lira vermeyin şu yt music veya spotiye boş uygulamalar ikiside sonuç olarak Apple hem ses hemde çeşitl,5,2025-05-19 10:18:15
wearos destegi gelsin artık,3,2025-05-16 21:41:23
Herşeyde ücretli olmaz be apple,5,2025-05-16 17:29:41
iPhone si olmuyanlar niye kullanımı yok. 😡😡😡😡😡,1,2025-05-16 00:09:16
Cihazlar arası senkronizasyonun geliştirilmesi gerek,3,2025-05-15 22:29:13
Yavaş. Gerçekten bir şarkı çok geç yükleniyor daha yavaştı güncelleme ile biraz hızlanmış ama hala diğer rakipleriyle kıyaslayınca geç açılıyor müzik. Ayrıca diğer insanları takip edemiyoruz takip sistemi de gelmeli bence. Arayüz de biraz daha basit olabilir yani kim radyo dinliyor ki de ortaya onu koymuşlar? Bunun dışında ses kalitesi> diğer tüm müzik uygulamaları. Not: bir de uzamsal sesteki şarkıların kalitesi dünyadan uzaklaştırıyor gibi oluyor o kadar iyi,4,2025-05-14 21:05:39
çok kötü bir uygulama öne çıksın diye 5 yıldız verdim.Kayıt olamıyorum 2 saat bekletiyo aşşırı kötü,5,2025-05-13 18:54:03
"Spotify'a göre ses kalitesi yüksek, fiyatı uygun. Fakat öneri algoritması ve keşfet radyosu/listesi sağlıklı değil. Genel olarak memnunum.",4,2025-05-13 12:33:23
acayip iyi her şekil premium hissi veriyor Spotifydan kat ve kat daha iyi,5,2025-05-11 21:57:22
24 Bit 192 KHZ kadar ses kalitesi sunuyor program Spotify den daha iyi ve dezer den,5,2025-05-09 23:25:49
mükemmel,5,2025-05-07 21:26:50
güzel,5,2025-05-07 17:16:01
ses kalitesi acisinden Spotify dan kat ve kat daha iyi ama arayüz konusunda biraz daha sadelige gidilebilir 1 yıldız bu yüzden kırdım,4,2025-05-05 17:08:10
+Artıları: Youtube müziğe göre daha dengeli sesi var -Eksileri: Sesi biraz daha az,5,2025-05-05 04:18:31
Spotify den daha iyi ses kalitesi arayüzüz ortalama ama çok güzel spotife verdiğinize yazık 32 tl uygun daha iyi bence,5,2025-05-03 23:41:13
çok iyi,5,2025-05-03 23:26:16
android telefonuma indirdiğim uygulamaya üyeliğimin daha ikinci gününde erişemiyorum. uygulamayı silip tekrar yuklememe ve hesap şifresini girmeme rağmen tekrar başa yönlendiriyor.Android kullanıcıları uzak dursun derim.Tek yıldızı da ses kalitesi hatırına verdim 😤,1,2025-05-02 10:45:01
tv de çalışmıyor,1,2025-04-28 02:13:11
bet,5,2025-04-24 07:01:07
Apple kalitesi anlatmaya gerek yok.,5,2025-04-24 00:50:26
auto crossfade is really good bring şt to ios too,5,2025-04-23 00:41:37
İyidi güzeldi очень очень хорошо,5,2025-04-22 19:24:48
güzel,5,2025-04-21 11:58:11
Samsung Galaxy S4 mi bir türlü ikna edemedim,5,2025-04-20 21:52:21
iyi iyi,5,2025-04-17 22:14:44
güzel iyi ama sonraki çalan şarkı algoritması çok kötü. ama fiyati Türkiye'ye göre çok iyi Amerika da 10 dolar falan bizde 40tl olması baya iyi hem iPhone da hem burada kullanıyorum güzel,3,2025-04-17 13:01:06
Söylenecek söz yok. iPhone versiyonundan bile daha iyi.,5,2025-04-17 01:10:13
Macbookum ile iTunes Store'dan bir çok şarkı aldım fakat şarkılar telefonumda görünmüyor bilgisayarımda var ama telefona gelmiyor lütfen sorunu düzeltin.,1,2025-04-13 13:54:00
sometimes app can be very buggy,4,2025-04-11 01:18:49
Siz adam mı soyuyorsunuz!? ne cürretle benden birkaç saat içinde 3 defa para çekiyorsunuz!? Para iadesi istiyorum,1,2025-04-10 06:29:36
"Spotify saçmalığından sonra gerçek müziğe kavuştum. 24 bit 96 khz kalitesinde , yüksek çözünürlüklü , kayıpsız , sanki stüdyoda dinliyormuş gibi müzik keyfi sunuyor. Spotify kullandigim zamanlarıma üzülüyorum, ben müzik dinlememişim spotify'da hiç. zararın neresinden dönersen kârdır. Apple müzikten şaşmam artık. hem daha kaliteli ses hem de spotify'dan daha ucuz. Harikasın Apple music. 😊😊🙏",5,2025-04-09 21:57:34
Apple hesabı oluşturamadığım için uygulamayı kullanamıyorum. inanmayacaksınız ama 120 farklı kullanıcı adı denedim ve hiçbirine onay vermedi. pes ediyorum.,1,2025-04-09 04:09:42
Lütfen uygulamayı düzeltin,4,2025-04-06 15:13:30
Android cihazlarda kullanırken problemlere sahip örnegin internetten girerken Apple hesabınız girince 13 ve daha fazla ios sürümü uyarısı veriyor saçma. onun dışında kullanımı çok güzel,3,2025-04-05 14:56:47
son derece berbat.,1,2025-03-30 23:42:14
"Ulo, ""Şarkı Söyle: Türkçe Hit'ler"" diye playlist getirmişsiniz ama playlistteki şarkıların yarısında sing (kelime kelime giden şarkı sözleri) özelliği yok. Siz taşak mı geçiyonuz adamla?",3,2025-03-30 01:28:19
Hesaba giriş yapılamıyor,1,2025-03-29 21:34:41
güzel,5,2025-03-27 19:10:33
ses kalitesi çok başarılı ama uygulama pc ve mobilde oldukça fazla kasma ve donma sorunu yaşıyor,3,2025-03-26 00:24:04
xiaomi 13 T pro telefonumda şarkı değiştirirken Bluetooth kesilmesi sorunu yaşıyorum onun haricinde arayüzü ve ses kalitesini beğeniyorum. Not: Ses seviyesi diğer müzik dinleme uygulamalarına göre biraz düşük kalıyor yani temiz kaliteli ses ama Spotify veya deezer'dan daha düşük ses seviyesi. Uzamsal ses özelliğini seviyorum bide.,4,2025-03-20 23:50:33
güzel uygulama,5,2025-03-20 14:27:22
Bluetooth kulaklığımla şarkı geçişi yaptığımda Bluetooth kendi kendine kapanıyor tekrar bağlanıyor ve bunu sürekli olarak yapıyor. Şimdi diyeceksiniz ki telefonla alakalı ama öyle değil. Çünkü bu sorun Spotify ve diğer müzik uygulamalarında olmuyor. Sadece bu uygulamada karşıma çıkıyor.,1,2025-03-15 16:32:26
Lütfen tasarımı sadeleştirin ve akıcı hale getirin.,4,2025-03-12 06:29:08
"Premium özelliğini dün açtım ve spotify yerine apple music kullanmaya karar verdim, çünkü herkes ses kalktesinin daha iyi olduğunu söylüyordu. Evet ses kalitesini gerçekten harika ama bazı sorunlar var. Arama kısmından bir şarkı açinca 4-5 saniye sonra açılıyor, crossfade geçişlerinde biraz duraklama oluyor, bir şarkıyı favorilerine ekleyince üstündeki yıldız geç çıkıyor, bir şarkı aratınca hemen çıkmıyor 5-10 saniye beklemek zorunda kalıyorum. Bunlar düzeltilirse uygulama daha iyi olabilir.",3,2025-03-11 06:59:48
Harika bir uygulama,5,2025-03-10 13:02:01
"Harika 👍 uygulama! Kullanıcı dostu, aradığım şarkıları bulabiliyorum.",5,2025-03-09 14:56:09
Ücretsiz kullanım bile olmayan bir uygulama. En azından reklamlı versiyonu olabilirdi. YT Music daha iyi bir seçenek,1,2025-03-08 22:30:56
İÇERİK ÜCRETLİ OLDUĞU İÇİN 1 YILDIZ BİLE FAZLA,1,2025-03-08 19:54:39
"Ses kalitesi açısında Spotify'dan çok daha iyi evet, ancak liste anlamında çok zayıf. Ek olarak masaüstü sürümü rezalet derecede kötü çalışıyor, bu iki husus sizin için önemliyse tercih edilmemesi gerek.",3,2025-03-08 02:00:27
"kayıpsız ses çözünürlüğü,dolby atmos ve uzamsal ses tercih sebebim olacak gibi 🤟",5,2025-03-07 21:49:37
Mükemmel ötesi. Teşekkürler.,5,2025-03-04 20:11:45
ses kalitesi der susarım hiçbir uygulama geçemez apple music'i,5,2025-03-04 19:47:37
Ses kalitesi spotify dan iyi ve daha yüksek ama onun dışında kullanış olarak spotify daha iyi. Mesela sıradaki şarkı için şarkıyı parmağımla sonuna kadar kaydırmam gerekiyor. Spotify da az bi hareketle oluyor bu. Programı açtığınızda kütüphaneye girmek için ayrıyetten listelere basmamız lazım. Spotify da kütüphaneye bastığımız gibi bütün listeler geliyor. Bunun gibi daha bir kaç şey daha var. Bunlar düzelirse tamamen geçebilirim,3,2025-03-01 22:23:52
Ses kalitesine göre parasını en çok hak eden tek uygulama ama sorunu var benim telefonumdamı sadece bilmiyorum Bluetooth kulaklığımı bağlayıp müzik açınca kendi kendine Bluetoothu kapatıp açıyor bunuda her seferde yapıyor,4,2025-03-01 11:30:46
müzik çalmak paralı şakamıdır bu? müzik dinlemekte paralı olmuş tasak geçiyolar bizle müziği çalmayıda paralı yapmazsın neyi paralı yapacaklarını şaşırmışlar,1,2025-02-27 05:53:02
Mükemmel bir uygulama.,5,2025-02-23 00:19:06
"Sürekli hata veriyor, her 3 4 günde bir silip tekrar yüklüyorum gına geldi. İptal ettim ondan dolayı",1,2025-02-22 19:57:39
""" o kadar berbat basit hatalarla dolu ki. Ses kalitesi gerçekten çok iyi, ancak arayüz aşırı karışık ve kullanımı zor. Kullanıcı deneyimi açısından oldukça geride kalmış. Bu yüzden Spotify kullanmayı tercih ediyorum. Bir de bildirim paneline favori parça ekleme tuşu eklenirse çok daha kullanışlı olur. Daha basit ve pratik bir arayüz istiyoruz!""",1,2025-02-20 16:58:21
mükemmel illaki appleda olması biraz üzücü ama yinede olsun diğer platformlara oranla hem ucuz ve daha yüksek kalitede müzik dinlemenizi sağlıyor eğerki isitme kaybınız yoksa 😅,5,2025-02-20 14:06:50
SAKIN İNDİRMEYİN ÜYELİK AÇINCA ÜYELİK İPTALİ YAPILMIYOR ÜSTÜNE İPTAL ETMEDİKLERİ ÜYEDEN ÜCRET KESİYORLAR !!!! CIMERE ŞİKAYET EDICEGIM SİZİ!!!!!,1,2025-02-19 10:46:06
"it provides hi res lossless, studio audio quality it's perfect for music lovers",5,2025-02-18 22:00:08
Spotifydan nefret ettiğim için geçtim ama spotify'ın yerel dosya özelliğini özlemiyor değilim. Apple a gelse çok daha güzel olurdu,3,2025-02-18 09:20:55
☆☆☆☆☆ yıldız verdim❤😍,5,2025-02-16 18:09:18
"Plandan çıkınca yaptığım listelere de erişemeyeceğimi bilseydim ücretsiz bile kullanmazdım. Ben uzun listeler yaparım. Kaydırma yok şu anda. Kullanışlı değil. Denemek için kullandım, anlayacağımı anladım, siliyorum.",1,2025-02-14 22:52:35
Benim için önemli olan ses kalitesi olduğu için spotify yerine artık bu uygulamayı kullanıyorum unarım ses kalitesinden ödün vermezsiniz.,5,2025-02-13 16:03:20
Tırt.,1,2025-02-13 16:01:59
Cant cast lyrics with chromecast device,1,2025-02-12 22:28:26
cunku apple xD,5,2025-02-12 20:34:14
"Apple Music Classical Türkiye'de aktif olana kadar, ortak playlist ve jam özelliği de Türkiye'ye sunulana kadar 1 yıldız. Bir işi ya tam yapın ya da hiç yapmayın",1,2025-02-12 18:37:06
"Ses kalitesi, minimalist tasarımı ve uygun fiyatı sebebiyle kullanmaktayım. Diğer platformlarda bu seçenekleri düzgün bir şekilde bulamadığımdan, kalıcı olarak sadece Apple Music'i kullanmaktayım.",5,2025-02-11 19:11:52
Kötü,1,2025-02-09 06:54:18
"Tam anlamıyla mükemmel, ses kalitesi kayıpsız ses gibi özellikler ile mükemmel hele hele sterio ses bulunan bir kulaklık kullanıyorsanız çok iyi ben apple nın Earpods Usb-C kulaklığını kullanıyorum",5,2025-02-07 23:37:50
"Ses kalitesini seviyorum. Uygulamanın sadeliğini seviyorum. Tek bir sorun var, benim playlistim çok uzun yaklaşık 400den fazla şarkı var ve bazen bug'a giriyor. En aşağı indiğimde şarkılar tekrarlıyor ve sanki daha fazla şarkı eklemişim gibi duruyor ama çıkıp geri girdiğimde düzeliyor. Bu sorunu halledebilirlerse çok güzel olacak.",5,2025-02-07 02:02:36
Bet,5,2025-02-06 11:22:46
Əla,5,2025-02-02 04:04:11
"an itibariyle çalışmayı durdurdu. telefonum android, samsung a24. önbellek temizlemek veya silip yüklemeköişe yaramıyor ve çözüm değil.",1,2025-01-31 23:49:47
Çok güzel bir uygulama,5,2025-01-30 13:36:29
Çok kaliteli sadece bazı izinleri sürekli tekrarlamak gerekiyor ama bence sorun yok,5,2025-01-26 20:33:18
Tek kelime ile mükemmel ses kalitesi çok iyi,5,2025-01-25 18:43:15
Çalışmıyor ve çalmıyor...,1,2025-01-24 19:01:40
Ses kalitesi iyi ancak çalma listesinde müzik geçişlerinde kısılarak geçtiği için sesler birbirine karışıyor. Ayarlarda da bunu kapatmak için bir yer yok. Bu düzeltilirse 4 yıldızı hak eden bir uygulama bana göre.,1,2025-01-23 15:47:16
O kadar iyi ki anlatamam çok güzel,5,2025-01-23 13:00:36
ses kalitesi olmasa yüzüne bakmam bu uygulamanın spotifya hifi geldiğinde sileceğim.,1,2025-01-22 22:38:08
Berbat çok kötü istediğim şarkıyı bile bulamıyor,1,2025-01-22 14:23:54
"Apple Music, kendine has, yumuşak geçişli animasyonlu ve kanımca kolayca anlaşılır arayüzüyle 3 ayrı abonelikten birini (Bireysel (39,99₺), Aile (59,99₺) ve Öğrenci (doğrulama gerekli)(19,99₺)) tercih ederek kayıpsız (16 - 24 bit, 44 - 48 kHz), yüksek çözünürlüklü (24 bit, 96 kHz) ve yüksek çözünürlüklü kayıpsız (24 bit, 192 kHz) ses değerlerinde şarkılar dinleyebildiginiz, ses kalitesine önem veren bir uygulamadır. Apple ID hesabı gerektirir bilginize. bkz.",5,2025-01-22 08:57:49
"android telefonlarda kasıyor, şarkıyı açmıyor ya da kendi kendine atlıyor",1,2025-01-21 11:03:49
Uygulama bozuldu çalışmıyor hiçbir şekikde şarkı dinleyemiyorum sildim yeniden yükledim yine değişmedi üstelik üyeliğim var,1,2025-01-20 23:56:25
"estetik açıdan, fiyat açısından ve mix açısından gayet uygun ama çeşitli optimizasyon sıkıntılarına sahip. dokununca geç algılaması ya da kendi kendine kapanması gibi. bu gibi çökmeler, kasmalar düzeltilirse problemlerin, sorunların çoğu çözülür. arayüz daha basit hâle getirilebilir. (kendi çalma listelerimiz görünse mesela. spotify gibi ya da youtube music gibi.) video seçeneği getirilebilir. istasyonları favorileyebilsek bir de. önerilerim bunlar. mantıklı tavsiyeler bence.",5,2025-01-20 00:25:57
en kalite💯,5,2025-01-18 21:19:44
Para yüklemediğimiz sürece buradan şarkı indiremiyor muyuz? Sadece dinlemek mi mümkün?,2,2025-01-13 23:38:14
Mükemmel Spotify dan daha iyi,5,2025-01-13 20:35:00
Ses kalitesi mükemmel ama kendi kendine sesi açıp kısmak nedir abi bu sorunu bir tek benmi yaşıyorum acaba ?,1,2025-01-10 15:43:50
çok iyi ses kalitesi,5,2025-01-09 21:12:03
Güçgeldi,5,2025-01-07 19:49:27
Gerçekten güzel bir program,5,2025-01-06 03:47:11
Spotify den ucuz,5,2025-01-05 19:29:27
Adamlar - Benden Bana isimli parça şu anda yok hatası alıyorum nasıl yok ya,1,2025-01-05 17:06:31
Uzun zamandır kullanıyorum diğer bütün müzik uygulamalarını yok eder.Uzamsal ses kayıpsız ses vs efsane özellikler var.Tek sorunum şu müzikler biraz yavaş yükleniyor başkada herhangi bir sorun yok.,5,2025-01-05 11:50:57
Bu çok iyi 👍👍👍.,5,2025-01-05 08:39:33
"yeni sarki bulamiyorum, zevkime gore sarki onermiyor cok sıkıcı ama ses kalitesi muazzam👑👑",2,2025-01-04 21:19:50
sorunlu musunuz hesaba inceleme atmışsınız?,1,2025-01-03 15:29:50
"çok kasıyor, şarkıları açmaya çalışıyorum açıkmıyor telefonu yeniden başlatmam gerekiyor. düzeltin şunh",1,2025-01-02 03:19:57
Çok iyy,2,2025-01-01 13:08:52
Androidde anlık olarak uygulama 5 gündür çalışmıyor,1,2024-12-31 12:29:00
Şarkı için para istiyor sakın yüklemeyin spotify,1,2024-12-29 17:08:36
çok güzel,5,2024-12-28 23:55:28
Hesaba giriş yapılmıyor,1,2024-12-25 17:32:51
Uygulama Spotify dan çok iyi ewet ama ara yüzü birazcık zor onun dışında çok iyi bir uygulama,5,2024-12-25 12:31:14
Uygulamaya giriş yap ekranında giriş yapmama rağmen hiçbirşey olmuyor hesaplarıma girmiyor ve abonelik ücretim alındı bu ne saçma şey böyle ?,1,2024-12-24 23:45:01
Apple daha iyisi varmı 😄,5,2024-12-24 20:20:26
kullanışsız kötü arayüz,2,2024-12-24 05:35:16
ücretli almama rağmen şu anda uygulama çalışmıyor listelerini açamıyorum çalmıyor,1,2024-12-23 17:01:29
Şarkılar doğru dürüst ilerlemiyor kesinlikle bir sptfy etmez androidde düzgün çalışmıyor optimizasyon sorunları mevcut olsada olur olmasada olur bi uygulama 👎🏼,1,2024-12-23 11:04:49
Yt music kullanın aptal şapşal programlara para vermeyin.,1,2024-12-23 07:32:51
Spotify dan çok daha ucuz ve daha güzel özellikleri var,5,2024-12-22 01:03:07
Mükemmel bir ses kalitesi var,5,2024-12-21 16:20:26
güzel bir platform şarkıları yüksek kalitede kayıpsız şekilde dinleyebilirsunuz tek eksi yönü istasyon farklı şarkılar gelirse müthiş olur,4,2024-12-21 16:03:00
☺😊,5,2024-12-20 16:37:26
"müzik kalitesi bakımından çok iyi fakat bir süre sonra istediğim müziği dinleyemiyorum, müziklere tıkladığımda çalmıyor. uygulamayı her seferinde silip tekrar indirmekten yoruldum. bir çözüm bulunursa çok iyi olur.",3,2024-12-20 15:41:55
Spotify essegine bin basar,5,2024-12-20 02:49:42
efsanestar ses kalitesi açık ara tüm müzik uygulamalarının üzerinde 👑,5,2024-12-20 00:52:22
Valla benim.320 kbps mp3 lerden pek farki yok 😄 yada dinlemek icin baska edevat lazim galiba,1,2024-12-19 02:10:08
Şu uygulama varken Spotify falan hikaye özellikle kayıpsız ses özelliği mükemmel. Teşekkürler Apple teşekkürler inşallah aşırı yüksek fiyat artışı olmazda keyfini uzun uzun süreriz.,5,2024-12-18 23:11:44
"Bu ne lan böyle böyle büyük bir şirketin basit kod hatalarıyla iphone'a geçirtme çabası mı olur. Kimse dememiş mi? Patron bu böyle olmaz etik değil, yaprak gibi olur diye.",1,2024-12-18 12:47:24
"Kendi kendine şarkı atlamalar mı dersininiz, playliste yeni eklediğim şarkıları indirmemesi mi çok fazla hata var. Memnun kaldığım tek şey ses kalitesi ve hareketli kapaklar.",2,2024-12-17 17:21:39
Bazı bilmeyenler için yazıyorum Samsung kullanıp uygulama iç satınım alımlarını almadan müzik indirilmiyor sırf telefonunuz android diye gelip kötü yorum bırakmayın saçma sapan şöylerle uğraşıp zaman kaybetmeyin android seniz sadece kullanmayın iPhone'e için çok güzel bir uygulamadır.,5,2024-12-16 21:57:41
spotifyı kullandığınıza pişman oluyorsunuz,5,2024-12-15 23:23:48
Harika,5,2024-12-14 12:46:45
Playlistteki geçmiş şarkılara badılı tutup tekrar sıraya ekleme özelliği androidde yok. Onuj getirilmesi gerekiyor bu haliyle eksik olduğunu düşünüyorum. Sevdiğim bir müzik uygulaması fakat youtube music gibi şarkılar tek listede olmalı. Önceki şarkıyı tekrar sıraya ekleyebilmeliyiz. Playlistten ortadaki şarkıyı seçtiğimizde arkasındaki şarkılar playlistten siliniyor bu da kötü bir özellik.,2,2024-12-14 07:34:11
"3 Ay bedava hizmet veriyorsunuz söz de ne Amazon da ne de Spotify da yaşamadığım saçmalığı siz de yaşıyorum, ben böyle fırsatlar da erkenden aboneliği iptal ederim, belirttiğim uygulamalarda sıkıntı yok ama elmacık da yok hesabınıza erişim isteği atın yok kitledik zart zurt, ya bilader ne haltıma veriyorsun o zaman ""3 ay bedava"" söz de! Böyle çakallık peşine düşecek olana benim sonradan verecek param da yok.",1,2024-12-14 07:31:58
