yorum,konu,sentiment,sentiment_score,duygu
indirme islemi hizli olsa iyi olurdu,performans,nötr,50,beklenti
harikasınız iyisi varsınız,performans,pozitif,90,mutluluk
çok iyi hemen hemen her gün kullanıyorum muhteşem bir uygulama,performans/arayüz,pozitif,90,mutluluk
❤👍,duygu,pozitif,90,mutluluk
Süper.,performans,pozitif,90,mutluluk
Iyidir,genel,nötr,50,nötr
güzel ama apple music ve spotifyın sahip olduğu gibi güzel ve daha iyi dizayn edilmiş bir desktop app olsa daha iyi olur,arayüz,pozitif,80,mutluluk
iyi,genel,pozitif,80,mutluluk
çok kolay,performans,pozitif,80,mutluluk
parasını hak ediyor.,fiyat,pozitif,80,mutluluk
biraz daha geliştirilebilir artı olarak. şu halde bile çok memnunum,performans,pozitif,80,mutluluk
Bayilirak kullaniyorum,performans,pozitif,90,mutluluk
daha farkli tarzlar da cikarmasi gerekiyor,içerik,pozitif,70,beklenti
Awesome app.,performans,pozitif,90,mutluluk
çok güzel istediğim gibi,performans,pozitif,90,mutluluk
Tavsiye ederim bütün müzikler mevcut,içerik,pozitif,90,mutluluk
süper,performans,pozitif,90,mutluluk
daha fazla geliştirilebilir,performans,pozitif,70,beklenti
"""Please add a feature to group downloaded albums by their respective bands."" do you read these Google?",arayüz,negatif,20,hayal kırıklığı
Giderek gelişiyor arada kliplerede bakmak istediğim için YouTube Music uygulamasını tercih ediyorum zaten özet yapıyordu şarkı sözü paylaşma özelliğide geldi ben memnunum,performans/arayüz/içerik,pozitif,80,mutluluk
On Numara teşekkürler,performans,pozitif,90,mutluluk
daha güzel bir uygulama görmedim premium aldığın anda iki uygulamaya da yansıyor çok memnunuz ailecek,performans/arayüz/fiyat,pozitif,90,mutluluk
Mükemmel .Aradığınız her şarkıyı çok rahat bulabilirsiniz,arayüz,pozitif,90,mutluluk
Güzel,genel,pozitif,80,mutluluk
Berbat müzik önerileri.,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,10,hayal kırıklığı
çok iyi.,performans,pozitif,90,mutluluk
abonelikten çıkıp spotify'a geçiyorum çünkü indirdiğim bütün müzikler gitti ve ben bunu her sene yaşıyorum.. sürekli donmaya ve uygulamadan atmaya başladı. indirme 1500 şarkıyı geçince hep aynı şey oluyor,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,70,hayal kırıklığı
super bence bide youtube premıum alınca otomatık muzık de ucretsız oluyo ben cok sevıyom bazen ara yuzde ve sarkılarda donma oluyo ama o cok da onemlı degil sevıypruö yanı cnm 💛🩷🩷❤️🩵🩵🩷💛🩶💜💗💚💖💖💖,performans/arayüz/fiyat,pozitif,85,mutluluk
yani Spotify dan daha iyi yanı sen den san sace şarkı acmiyormusn bide sözlerini söleyebilirsiniz ama benim tercem Spotify dan daha iyi diyebilirim.,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,70,mutluluk
tek kelime ile harika,performans,pozitif,90,mutluluk
güzel ama hep aynı şeyler karşıma çıkıyo. genel olarak memnunum.,içerik,pozitif,70,mutluluk
çok güzelll ama İnternet olmasaaa😻,performans/arayüz/fiyat,pozitif,80,mutluluk
En sevdiğim uygulama,uygulama,pozitif,90,mutluluk
Önerdiği şarkılar tam anlamıyla rezalet ama spotify'ın aksine istediğim kadar şarkı geçme hakkı sunuyor olması çok güzel bir şey. Arkaplanda çalışmak bir müzik uygulamasında olması gereken en temel şeylerden biri ve bu uygulama buna sahip değil ama benim telefonumda kayan pencereler özelliği olduğu için sağ üst köşede açık tutup istediğim şeyi yapabiliyorum. Spotify'dan daha iyi ama yine de çok iyi değil,performans/arayüz/fiyat/içerik,pozitif,70,mutluluk
super,performans,pozitif,90,mutluluk
Süper,performans,pozitif,90,mutluluk
çok memnunum.,performans,pozitif,90,mutluluk
Yaklaşık 1 yıldır kullanıyorum. Araçta vb. tüm beklentimi karşılıyor. Çok memnunum.,performans/arayüz/fiyat/içerik,pozitif,90,mutluluk
bass gücü Spotify'a göre çok çok iyi. Spotify tamamen boşmuş onu farkettim.,performans,pozitif,80,mutluluk
harika bir uygulama reklam yok arka planda çalıyor müthiş 10,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
güzel,genel,pozitif,80,mutluluk
çok güzel,genel,pozitif,90,mutluluk
kullandığın en iyi uygulamalardan biri fakat tıpkı youtube gibi yt müziğede video indirme özelliği getirirseniz çok iyi olur,uygulama,pozitif,80,"memnuniyet, beklenti"
"Kullanıma sunulduğundan beri çok güzel, rahat bi şekilde kullanıyorum. Çok keyifli, donanımlı, isteklerinize, tarzınıza göre bir liste hazırlıyor size. Öneri müzikleri yine size göre müzikler oluyor. Ben çok memnunum",performans/arayüz/içerik,pozitif,90,mutluluk
Güzel harika valla,performans,pozitif,90,mutluluk
Evet gelelim asıl meseleye.Ben keyfine düşkün olduğum için kendime uygun olan şarkıları seçerim bu yüzden bu uygulamaya bayıldım.Şunlar olmasa daha da güzel olurdu diyeceğim meseleler 1.Kural; Reklam olmasın ben açıkçası reklam izliyorum bu yüzden bundan rahatsızım. 2.Kural;Benimde tabletim 9 yıllık bi tablet olduğu için güncellenmiyor ve bu durum benim canımı sıkıyor.3.Kural;Ben belki bunu yüzlerde söylemişimdir ben güncelleyemiyorum ve güncelleme butonu yok ve tableti tamir ettirdik ve2tl aldı,performans/arayüz/reklam,negatif,60,hayal kırıklığı
teşekkürler varlığınız dâim olsun,teşekkür,pozitif,90,mutluluk
"Listemdeki şarkılar kendi kendine kayboluyor, yeniden eklemek istediğimde bu şarkı listenizde zaten var diyor ama şarkıyı göremiyorum. Yine de ekle diyorum ona rağmen listede çıkmıyor. Bir süre sonra kendi kendine geri geliyor sonra yine kayboluyor. Listemde 220 şarkı görünüyor mesela ama saydığımda 15 tanesi eksik.",performans/arayüz,negatif,20,hayal kırıklığı
bütün şarkılar var,içerik,pozitif,80,mutluluk
çok memnunum teşekkürler,performans,pozitif,90,mutluluk
iyi,genel,pozitif,80,mutluluk
bence çok güzel bir uygulama reklam bile çıkmıyor kullanmanızı tavsiye ederim,uygulama/reklam,pozitif,90,mutluluk
mük.,performans,pozitif,90,mutluluk
Spotify dan 100 kat daha iyi,performans,pozitif,90,mutluluk
Çok güzel,genel,pozitif,90,mutluluk
süper,performans,pozitif,90,mutluluk
"The Music app keeps freezing. I used to think it was because of my phone, even though no other apps had issues. But after changing my phone, I realized the problem is entirely with the app. I was one of the last 3-4 people still resisting Spotify, but I guess I’ll have to switch once my subscription ends. Edit: I'm back 😃 I didn't like how the other app's algorithm works, its discovery and recommendations. YouTube Music also seems to have fixed the freezing issue. I'm impressed.",performans/arayüz,pozitif,80,mutluluk
uygulama güzel ama bazı sorunlar var örneğin playlistteki şarklıarın yerlerini değiştiremememiz gibi en hızlı şekilde düzeltilmesini rica ediyorum,performans/arayüz,nötr,50,beklenti
sesi daha fazla çıkartıyo gerçekten bana göre güzel tam 5 ⭐ lık,performans,pozitif,90,mutluluk
Aynı YouTube benzeri gibi müzikler harika şimdi sizde deneyin,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
"Aradığım tüm şarkıları bulabiliyorum, keşfetten önerdiği şarkılar gayet başarılı,uygulamanın kullanımı çok kolay. Teşekkür vede tavsiye ederim 🙏🏻",performans/arayüz,pozitif,90,"mutluluk, güven"
internitsiz olsa dâha iyi olur,performans/arayüz,nötr,50,beklenti
gerçekten çok güzel bir uygulama şarkı listeleride dinlediğimiz türe göre değişiyor aynı türde aynı tonlarda şarkılar cikiyor bide reklamsız olması mukemel,uygulama,pozitif,90,mutluluk
Müthiş,performans,pozitif,90,mutluluk
çok başarılı bir uygulama.🔥🎉🎧🎸,performans,pozitif,90,mutluluk
Bayağı iyi bir uygulama ses kalitesi filanda iyi sadece free planda arka planda şarkının oynatılmaması kötü olmuş ama yinede iyi zaten premium fiyatıda uygun ve premium planı kullanıyorum,performans/fiyat/içerik,pozitif,80,mutluluk
mujemmel,performans,pozitif,90,mutluluk
Youtube Music bunu nasıl yapıyor bilmiyorum ama keşfeti sanki o an ruh halimi anlıyorda bilerek işte bu ya dediğim şarkılar çıkarıyor,performans,pozitif,85,mutluluk
reklamsız müzik dinlemek harika üstelik ses kalitesi süper emeği geçen herkese teşekkür ederim keyifle istediğim gibi müzik dinliyorum saygılarımla,reklam,pozitif,90,mutluluk
spotifden daha iyi daha kolay daha az paragöz,performans/arayüz/fiyat,pozitif,80,mutluluk
"Tek kelimeyle, on numara beş yıldız.",performans,pozitif,90,mutluluk
😀,arayüz,pozitif,90,mutluluk
"Kişiselleştirilmiş tarz, sanatçı, albüm önerileri geliştirilmeli",performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,80,mutluluk
çok iyi ses kaliteside harika,performans,pozitif,90,mutluluk
"Premium olmasına rağmen her şarkıda bir donup kalıyor, tekrar açıp devam ettirmek gerekiyor!",performans,negatif,30,hayal kırıklığı
vazgeçilmezim harika,ürün/hizmet,pozitif,90,mutluluk
spotify ı falan tekler ses kalitesi falan herşey çok güzel bide ben YouTube premium üyesiyim bununda yaninda hediye gelmesi çok güzel bir incelik.,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
İstediğimiz gibi Herkese açık bir şekilde müzik yükleyemiyoruz ne anladım lan o zaman bu işten,performans/arayüz,negatif,20,hayal kırıklığı
guzel istedim sarkilari ücretsiz ve hiç urasmadan açıp dinliyorum harika bir şey ⭐⭐⭐⭐⭐,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
uygulama güzel tek eksik kendi ekolayzer i olmaması,performans,pozitif,70,mutluluk
çok güzel ve akıcı premium hissi,performans/arayüz/fiyat,pozitif,90,mutluluk
sevdiğim bütün şarkilari buluyorum,arayüz,pozitif,80,mutluluk
bence çok iyi,genel,pozitif,80,mutluluk
menun kaldım,arayüz,nötr,50,şaşkınlık
Harika,performans,pozitif,90,mutluluk
👏,performans,pozitif,90,mutluluk
sağlam,performans,pozitif,80,mutluluk
uygulama çok iyi,performans,pozitif,90,mutluluk
