yorum,konu,sentiment,sentiment_score,duygu
BLOK 3 şarkıları Hiç çıkmıyor Ama kalite efsane Hakan abiye selam söyleyin,performans,pozitif,80,mutluluk
çok güzelll,performans,pozitif,90,mutluluk
ben çok sevdim mesela bir şarkının bitmemesini istiyorsanız bir düğmeye basarak şarkı bitince kendiliğinden tekrar açılıyo,performans,pozitif,80,mutluluk
Güzel ama pıremiyum olmasa günde 30 - 20 müzik dinletiyor.,fiyat,negatif,30,hayal kırıklığı
mukemmelbinsey haftalık ortalama 9.36 saatim var siz dusunun,performans,pozitif,90,mutluluk
guzel,genel,pozitif,80,mutluluk
ya uygulama iyi ama bir yıldızın kırılmasını 3 sebebi var ●Telefonda akıllı mixi kapatamıyorum şarkılar istediğim gibi çalmıyor ●Deneme sürümünü kart bilgilerini girmeden etkinleştirilmelidir ●Telefonda da bilgisayarda da dinliyorum ikisinde de çok reklam oluyor iki şarkıdan sonra reklam,performans/arayüz/reklam,negatif,20,hayal kırıklığı
bu uygulama kesinlikle beşi hak ediyor ever paralı ama harika,performans,pozitif,90,mutluluk
tek kelime ile mükemmel,performans,pozitif,90,mutluluk
bence iyi fena değil ama reklamlar kısaltılabilir,reklam,pozitif,70,mutluluk
çok güzel gayet iyi parasız indirme özelliği gelirse mükemmel olur,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
İstediğim şarkıyı dinleyip favorileyebiliyorum şarkıları dinlemeyi çok severim benim için müthiş bir uygulama öneririm,performans/arayüz,pozitif,90,mutluluk
premium olmadığı sürece çekilecek çile değil yani uygulamayı kullanacaksınız almanız lazım onun harici güzel işte,fiyat,negatif,20,hayal kırıklığı
ücretsiz dinliyordum premium üyelik zorluyor çok kötü myt müzik daha iyi,fiyat,negatif,20,hayal kırıklığı
50 şarkı 40 reklam....,reklam,negatif,30,hayal kırıklığı
çok iyi tavsiye ederimmm,performans,pozitif,90,mutluluk
uygulamasa bir yerden sonra premiumu keşfedin diyor çok rahatsız edici,fiyat/reklam,negatif,30,rahatsızlık
uygulama epeyce iyi ama biraz paralı,fiyat,nötr,50,nötr
Güzel)),genel,pozitif,80,mutluluk
çok fazla reklam var ve hep herşeyde para istiyor😠,reklam,negatif,80,öfke
çok iyi valahhh,performans,pozitif,90,mutluluk
gerçekten çok seviyorum ve yıllardır kullanıyorum!!!! Şarkıları dinlerken melodilerine kapılıp gidiyorum. Uygulama aşırı iyi ve kaliteli!!!! ELİNİZE SAĞLIKKKKKKKKK<3,uygulama,pozitif,95,mutluluk
çok reklam var,reklam,negatif,20,hayal kırıklığı
brooooo,nötr,nötr,50,nötr
arkadaşlar kesin indirin premium falan birşeyler diyor efsane olmuş arada şarkı giriyor yanlışlıkla o düzeltilebilir belki çünkü eminim hepimiz sürekli spotify premium diyen adamı dinlemek istiyoruzdur (!),performans/arayüz/fiyat,pozitif,80,mutluluk
mükemmels.,performans,pozitif,90,mutluluk
premium unuz yoksa bittiniz,fiyat,negatif,10,hayal kırıklığı
Muazzam,performans,pozitif,90,mutluluk
"çok iyi, premium yok ise reklamdan dinleyemiyosunuz o kadar onu dışında mükemmel",reklam,negatif,20,hayal kırıklığı
öne çıksın diye 5 verdim yıllardır kullanıyorum eskiden baya iyiydi şimdi premium üyelik de aldım hikayeye şarkı koymayı çok seven biriyim ancak Android kullanıcılarına iPhone kullanıcıları kadar estetik görünüm tanımıyorlar bi ara şarkıların aralarını ayırmışlardı şimdi paylaşmak istediğimde küçücük oluyor hoşuma gitmiyor lütfen Android kullanıcılarına destek 🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,arayüz,negatif,30,hayal kırıklığı
şarkı değil reklam dinlemek istiyorum derseniz oooo tam size göre bir uygulama,reklam,negatif,20,hayal kırıklığı
birşürü işi var ben hemen dinlemek istiyorum 👎👎,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,10,hayal kırıklığı
internetli ya ve her şarkıdan sonra neredeyse reklam çıkıyor,reklam,negatif,70,hayal kırıklığı
Harika,genel,pozitif,90,mutluluk
güzel sadece reklamlar almasa güzel,reklam,negatif,30,hayal kırıklığı
Mükemmel bir uygulama severek kullanıyorum bence toplumda seviyordur.Umarım sizde beğenirsiniz,arayüz,pozitif,90,mutluluk
Gayet iyi ama neredeyse her iki şarkı da bir reklam çıkıyor ve bu reklamlar geçilemez 15-20 saniyelik reklamlar,reklam,negatif,30,hayal kırıklığı
fiyatlarda biraz daha hesaplı olsa varya🤪,fiyat,nötr,50,beklenti
Spotify güzel bir uygulama,performans/arayüz,pozitif,80,mutluluk
bu uygulama çok kötü sadece şarkı dinlemek için girmiştim ve hesabım gittiği için dinleyemedim hesabıma geri girmeye çalıştım ama bir türlü olmadı gayet memnun değilim onun yerine YT müzikten dinleseydim daha iyi olurdu diyip duruyorum,performans/arşiv/arayüz/fiyat/içerik/reklam,negatif,20,hayal kırıklığı
sürekli reklam koymayın artık 🙏🏻,reklam,negatif,70,öfke
"eğer sırayla dinleyebilmek müzikleri bir zaman sonra izin vermiyo sırayla dinlemeye izin verse 5,5,5",performans,negatif,30,hayal kırıklığı
tek kelime ile mupppp,performans,pozitif,90,mutluluk
mükemel sportify,performans,pozitif,90,mutluluk
Premium olmayanlar da önceden bir reklam veriyordu artık iki reklam veriyor. İki tane 30 saniyelik reklam çok sıkıyor. Ve beni ilgilendirmeyen reklamları ( premium al diyenleri değil ) engelliyorum ama yine de tekrar tekrar vermeye devam ediyor.,reklam,negatif,70,"öfke, hayal kırıklığı"
çok iyi ama bazenleri kendi kendine kapanıyor🙂,performans,nötr,50,şaşkınlık
çok güzel uygulama ama sürekli Premium olmamı söylüyor,fiyat,negatif,60,hayal kırıklığı
çok güzel teşekkürler,performans,pozitif,90,mutluluk
uygulama çok güzel öneririm yakında premium halini de deneyeceğim,performans/arayüz/fiyat,pozitif,90,mutluluk
harika bir uygulama 🤩🤩🤩🤩🤩,uygulama,pozitif,100,mutluluk
"işi iyice paraya çevirdiniz, internetten bedavaya indirip dinleyebilecegim şarkıyı dinlemek için üyelik istiyorsunuz, ASLA ÜYE OLMAM, insanları önce kendinize alıştırıp sonra ver parayı yoksa şarkı yok demek kan emici bir tavırdır 😡",fiyat,negatif,90,öfke
1 yıldızı uygulamanın widgetlerinin özelleştirilebilir olmaması için kırdım. 2.cisi ise müziği beğenenlere eklemekle beraber direk albümlere ekleyebilme özelliği olmalıdır.,arayüz,negatif,20,hayal kırıklığı
Harika,performans,pozitif,90,mutluluk
Reklam reklam reklam. yükledikten iki gün sonra şarkı seçtirmiyor. sil tekrar yükle. Tamamen silip kullanmayacağım. Berbat,reklam,negatif,10,"hayal kırıklığı, öfke"
"Bu kadar paragöz bir uygulama görmedim. İstediğim zaman istediğim şarkıyı seçip dinleyemeyeceksem uygulamanın telefonumda işi ne, direk siliyorum, bedava alternatifleri var, bunlara para yedirmeyin, biz bu şirketlere muhtaç değiliz onlar bize muhtaç.Tepkinizi koyun hesabınızı silin bakın nasıl ücretsiz yapıyorlar.",fiyat,negatif,80,"öfke, hayal kırıklığı"
harika,performans,pozitif,90,mutluluk
keşke daha az reklam verseler reklamlar çok fazla var ve ÖNERDİĞİN ŞARKILARI KENDİ SEÇTİĞİM ŞARKILARIN ARASINDA DİNLEMEK İSTEMİYORUM,reklam,negatif,70,hayal kırıklığı
aynı hesaptan iki tane oturum açılmıyor,arayüz,negatif,20,hayal kırıklığı
.çok güzel.,performans,pozitif,90,mutluluk
Bazı klasik şarkılar yok eksikliğini yaşıyoruz,içerik,negatif,30,üzüntü
çok güzel ama çok fazla reklam geliyor reklamda rahatsız etmediği için puan kırmadım,reklam,nötr,50,memnuniyet
spofiy güzel ama şarkıyı istediğimiz yere sürükleyemiyoruz yani istediğimiz kısma ilerletemmiyoruz ve videolar sürekli aynı tekrarı yapıyor ve sürekli reklam çıkıyor onun dışında güzel,arayüz/reklam,negatif,30,hayal kırıklığı
spotify olmasaydı nefes alamazdım.,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,80,mutluluk
Çok güzel istediğimiz müzikleri her tarzda bulabiliyoruz...,içerik,pozitif,90,mutluluk
çünkü premium isteyip duruyor,fiyat,negatif,30,hayal kırıklığı
Yaxşı dı,performans,pozitif,70,mutluluk
mükemmel,performans,pozitif,100,mutluluk
Youtube premium kullanan biri olarak sürekli memnundum aslında memnun olduğumu sanıyormuşum spotify premium alana kadar sürekli tekrarlanan şarkılar yok hep değişik ama tarzım olan parçalar ama en beğendiğim özellik isyerinde tablette kulaklikla dinliyorum tabletin yaninda olmadığım zaman telefondaki spotify ile şarkıları değiştiriyorum tek uygulama iki farkli cihazda sekronize çalışıyor istediğim yerden kontrol edebiliyorum harika özellik,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
çok iyi,performans,pozitif,90,mutluluk
çok iyi bir platform aşırı seviyorum,platform,pozitif,90,mutluluk
Çok kullanışlı ve faydalı,performans/arayüz,pozitif,90,mutluluk
premium olmasına rağmen o kadar para veriyorum ama kamerası okumuyor programdan atıyor ne saçmalık bu ya,performans,negatif,20,hayal kırıklığı
şarkı değiştirmek sıradan çalma bile paralı. çok kötü bir uygulama bir yıldız ı bile hak etmiyor. para gözler telif haklarını ödüyorlar mı acaba,uygulama,negatif,10,"hayal kırıklığı, öfke"
çok iyi,performans,pozitif,90,mutluluk
çok güzel uygulama.,arayüz,pozitif,90,mutluluk
çok güzel uygulama babamdan daha fazla zaman geçiriyorum,uygulama,pozitif,90,mutluluk
cokkkk seviyommm,performans,pozitif,90,mutluluk
çok beğendim ellerinize sağlık,performans,pozitif,90,mutluluk
"o kadar kac aylık premium abonesiyim bende ""bu calma listesini ye"" ozelligi niye yok 🥀💔",performans/arayüz/fiyat,negatif,20,üzüntü
keşke istediğim gibi şarkı dinlesem premium olmasa,fiyat,negatif,30,hayal kırıklığı
Spotify eski haline dönene kadar yüklemeyeceğim sacmaladiniz iyice,arayüz,negatif,10,öfke
öneriyorum bayıldım..,performans,pozitif,90,mutluluk
Müzik dinlemek için müthiş bir uygulama başka bir açıklamam zaten yok eğer bu yorumumu faydalı gördüyseniz beğenebilirsiniz 🎀💗,performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,90,mutluluk
mük,performans,pozitif,80,mutluluk
👑,arayüz,pozitif,80,mutluluk
"sarki dinlemek istiyorum premium istiyo.Ben istedigim gibi şarkı dinliyemiyecek isem niye yükledim ki? her şey premiumlu, yeter.",fiyat,negatif,30,hayal kırıklığı
premium almamız için bildiğin zorbalık yiyoruz. inadına sevmediğim dinlemediğim sanatçıları açıyor.,fiyat,negatif,20,öfke
müzik dinlemek için para vermek kadar saçma birşey yok.,fiyat,negatif,10,"şaşkınlık, hayal kırıklığı"
"Her istediğim müzik türünü, podcasti bulabiliyorum. Ve güvenli bir uygulama",içerik,pozitif,90,"güven, memnuniyet"
harika çok iyisiniz,performans,pozitif,90,mutluluk
premium almayana dilenci gibi davrandiktan sonra (art arda 3 reklam),reklam,negatif,70,"utanç, öfke"
mükemmel lo,performans,pozitif,90,mutluluk
rakipsiz,performans,pozitif,90,mutluluk
inernesiz olsa iyi olurmuş,performans,nötr,50,beklenti
"Gayet güzel, bir sürü şarkının yanında phonk, speed up, remix ve nightcore şarkılar da var. Kendi müzik listelerinizi yapabiliyorsunuz, isterseniz yayınlayabiliyorsunuz. ancak bir puanı kırma sebebim, internetsiz dinleyemiyorsunuz. Bunu duzeltseler uygulamayı kullanan çok olur",performans/arşiv/arayüz/fiyat/içerik/reklam,pozitif,80,mutluluk
iyi güzel ama reklam olmasa,reklam,negatif,30,hayal kırıklığı
internetsiz olsa daha iyi olur*･ﾟﾟ･*:.｡..｡.:*ﾟ:*:✼✿　　,performans/arayüz/fiyat,negatif,20,hayal kırıklığı
sehrrrrrrrr guttttttttttt meger ist diese app,uygulama,pozitif,90,mutluluk
çokkkkkkkkkkkkkkı güzelllllllllllllkk,performans,pozitif,90,mutluluk
👍,performans,pozitif,90,mutluluk
süper,performans,pozitif,90,mutluluk
çok iyi,performans,pozitif,90,mutluluk
Müq ya,performans,pozitif,80,mutluluk
şarkı sınırı olmasa daha iyiydi,performans,pozitif,70,memnuniyet
